Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Office & Stationery,office-stationery,6820c4f8d9b8934078f1ab05,6820c4f8d9b8934078f1aafb,6820c4f8d9b8934078f1ab9f,false,false,Wed Apr 01 2020 01:34:13 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:42:43 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:44:21 GMT+0000 (Coordinated Universal Time)
Clothing Items,clothing-items,6820c4f8d9b8934078f1ab05,6820c4f8d9b8934078f1aafb,6820c4f8d9b8934078f1ab98,false,false,Wed Apr 01 2020 01:33:55 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:42:59 GMT+0000 (Coordinated Universal Time),Thu May 15 2025 19:44:21 GMT+0000 (Coordinated Universal Time)
Promo & Merch,promo,6820c4f8d9b8934078f1ab05,6820c4f8d9b8934078f1aafb,6820c4f8d9b8934078f1ab99,false,false,Wed Apr 01 2020 01:33:46 GMT+0000 (Coordinated Universal Time),Mon Jun 09 2025 23:14:25 GMT+0000 (Coordinated Universal Time),Mon Jun 09 2025 23:14:25 GMT+0000 (Coordinated Universal Time)
